name,population,Species,color
FDK10,Pop1,Microcarpa,blue
J294,Pop2,Albens,red
J303,Pop2,Albens,red
J320,Pop3,Moluccana,green
J326,Pop3,Moluccana,green
J328,Pop3,Moluccana,green
J334,Pop3,Moluccana,green
J335,Pop1,Microcarpa,blue
J339,Pop3,Moluccana,green
J341,Pop2,Albens,red
J349,Pop2,Albens,red
J350,Pop2,Albens,red
J354,Pop3,Moluccana,green
J355B,Pop1,Sideroxylon x Microcarpa,blue
J361,Pop2,Albens,red
J363,Pop1,Microcarpa,blue
J367I,Pop3,Sideroxylon x moluccana,green
J374,Pop2,Albens,red
J376,Pop2,Albens,red
J393,Pop2,Albens,red
J395,Pop2,Albens x Microcarpa,red
NAL05,Pop1,Microcarpa,blue
NBJ30,Pop1,Microcarpa,blue
NCD30,Pop1,Microcarpa,blue
NCR13,Pop1,Microcarpa,blue
NDU10,Pop1,Microcarpa,blue
RA1006,Pop2,Albens,red
VMA18,Pop1,Microcarpa,blue
VWG14,Pop1,Microcarpa,blue
